utt_id	spkr_id	lang	text	dur	file_id
0005_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A14	A14	cs	_uvažaemı adamıdi čoğ išlirdi semyasına öčüri düšünirdi gerısıni	5.91	doreco_urum1249_UUM-TXT-FM-00000-A14
0004_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A10	A10	cs	dil ğaldi _turetski eč turetskidä dägıl gürjistana	3.58	doreco_urum1249_UUM-TXT-AN-00000-A10
0008_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A07	A07	cs	bän ohudum _vladimerski oblasta medučilišada _v _gorode _aleksandrove ordada išlädım	7.54	doreco_urum1249_UUM-TXT-FM-00000-A07
0007_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A12	A12	cs	äp ävın išini bän edierdım onnar oğlan yahamah o sıradan _mašina ho _stiralni bišelär yoğudi äp _ručnoi älımınän	6.823	doreco_urum1249_UUM-TXT-FM-00000-A12
0010_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A10	A10	cs	čaimız var yazın gidirıh balıh dutmaya _atdıhat edirıh	5.327	doreco_urum1249_UUM-TXT-VL-00000-A10
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A08	A08	cs	yaširıh šei mamam babam babuškamdır elä _i äkirıh kartolmartol onnan yaširıh	6.697	doreco_urum1249_UUM-TXT-FM-00000-A08
0007_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A08	A08	cs	meriamanaya är kövdän gälerlär bizım kövä gälerlär onučun bizım šeidır bizımkındä _muzıka iš oler čoğ halh vardır gälerlär buraya onučun	9.45	doreco_urum1249_UUM-TXT-FE-00000-A08
0005_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A16	A16	cs	ğuzäl oturirıh ğurbanımızi iirıh duvalirıh sorada bašlirıh oinamaya birdä ahšamaačan saat _on ikiaačan	8.919	doreco_urum1249_UUM-TXT-FE-00000-A16
0019_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	cs	zemlyankaidi fs_še šei yoğudi uslovialar _tyažolie _bıli	3.539	doreco_urum1249_UUM-TXT-AN-00000-A05
0010_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A05	A05	cs	sağ _savkhoz kömäk edirdıh sağ rayona öbür kövlärädä _semenoi kalkhoz tahıl _vsyo _eta	6.224	doreco_urum1249_UUM-TXT-VL-00000-A05
0015_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A16	A16	cs	_vsyo ğurtulduh	0.83	doreco_urum1249_UUM-TXT-LG-00000-A16
0009_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A07	A07	cs	bizım kövdä kissämız var ärvännidä _da meriamana var _no bizım kövä čoğ gälirlär	5.55	doreco_urum1249_UUM-TXT-FE-00000-A07
0004_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A15	A15	cs	_družni belä oinirıh nirıh emäh ičmäh duvalamah halhi birbirlärıni duvalirlär	9.78	doreco_urum1249_UUM-TXT-FE-00000-A15
0009_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B10	B10	cs	_nu bazikida gäldi erıšti buralarda	3.997	doreco_urum1249_UUM-TXT-AN-00000-B10
0006_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B02	B02	cs	urum halh gälier sağ šeidän _savetski _sayuz yoğudi ordan halh gälier čoğ meriamanaya orya	5.195	doreco_urum1249_UUM-TXT-FE-00000-B02
0011_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A14	A14	cs	urum semyasi burda _gdeto yaširıh igirmi pr_beš ävänčılä öbürlär olaki bir älli äväačenda ajarlar olur	8.891	doreco_urum1249_UUM-TXT-VL-00000-A14
0015_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A04	A04	cs	šindi bu köv äp pr_sağ rayona görsädir _klass _nu _pervi _mesto	8.17	doreco_urum1249_UUM-TXT-VL-00000-A04
0010_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A06	A06	cs	fs_epeim halh bašladi yašamaya kimki išlirdi o _da ğazanerdi yaširdi	6.627	doreco_urum1249_UUM-TXT-VL-00000-A06
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A07	A07	cs	bizım halh buraya gäldi _general _paskevič _paprasit etti	3.327	doreco_urum1249_UUM-TXT-AN-00000-A07
0005_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B06	B06	cs	elä sävierdıh o eri kidä ärdämä fs_är _kanikul bännän bänım bajılarımız kövä gidierdıh äbä dädämızın yanında	9.961	doreco_urum1249_UUM-TXT-VL-00000-B06
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A04	A04	cs	bizım köv _trialetski zonadadır gruzianın teritoriasında ui_tsalkanın rayonunda	10.829	doreco_urum1249_UUM-TXT-VL-00000-A04
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A11	A11	cs	bu kövä bän fs_gäl bän oldum fs_s _sorok _pervi godda _sorok _pervi godda oldum fs_per _sorok _pervi godda bu kövün adi fs_ji jinisıdi jinisıdi	10.016	doreco_urum1249_UUM-TXT-VL-00000-A11
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A11	A11	cs	gürjistana biz gäldıh fp_ee _naši dedi _tısyaču _vasemsot _dvatsat _sedmom _gadu	8.329	doreco_urum1249_UUM-TXT-AN-00000-A11
0011_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A09	A09	cs	fs_šei savkhozudi _brigadir oldum genä oldum šei iš _vesovčika sora nä genä oldum	10.121	doreco_urum1249_UUM-TXT-FM-00000-A09
0009_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A08	A08	cs	ğırh _semya var urum yaširlär öbürlär gettılär gretsiaya rassiaya ki ärbiryana getti	5.664	doreco_urum1249_UUM-TXT-VL-00000-A08
0006_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A14	A14	cs	elä yaširdılär ki pr_eč yoğudi _nu egılärıni fp_ee pr_ağačın alma listlärıni hašlir iirdılär elä fahırlığıdi onnan bögünäačen gäldılär	10.627	doreco_urum1249_UUM-TXT-AN-00000-A14
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A09	A09	cs	torpahlari aldılar bizım šeinika _uže čätın oldi yašamah _abratno _prišli _syuda _da	6.63	doreco_urum1249_UUM-TXT-AN-00000-A09
0004_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A14	A14	cs	onnar büldülär ki var gürjistanda elä köv jinis o sıra adi sora dägišl ändi onnar gäldıhtan sora bir _on eldan sora adi oldi artsivani	11.494	doreco_urum1249_UUM-TXT-VL-00000-A14
0006_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B02	B02	cs	fp_sora fs_kö köv _nu köv čoğ yahši ui_erdädır	6.123	doreco_urum1249_UUM-TXT-VL-00000-B02
0007_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A09	A09	cs	dögüš äkmäk yoh su yoh ğašyoh biše yoh fs_aj ajına išliajän _kakoi belä _savsem köti o sıra šei oldi	8.446	doreco_urum1249_UUM-TXT-LG-00000-A09
0006_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B06	B06	cs	čıhandan biz yahierıh manastirda mumlar _molimsya	5.469	doreco_urum1249_UUM-TXT-FE-00000-B06
0003_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A11	A11	cs	sora bu ğanahlii buldum bu ğanahlii _da buldum karakomdan karakomda buldum	6.232	doreco_urum1249_UUM-TXT-FM-00000-A11
0008_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B12	B12	cs	bizä su ičırierdi _eta šei sui khristian sui ičırierdi	6.672	doreco_urum1249_UUM-TXT-FE-00000-B12
0008_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A11	A11	cs	_mı _suda _sabiraem ğurbanom _vmeste gidirıh orda käsirıh iirıh šei edirıh	8.368	doreco_urum1249_UUM-TXT-AN-00000-A11
0013_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A16	A16	cs	ušahlar gändi gidärlär onnar gändılär isterlär _uže šindi sistemada	4.725	doreco_urum1249_UUM-TXT-FM-00000-A16
0008_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A05	A05	cs	bändä sora gerıdä armiaya gettım _savetski sayuza gäldım gettım gettım instituta agranomda ğurtaldum toprah iši	8.972	doreco_urum1249_UUM-TXT-FM-00000-A05
0014_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	cs	sora yavaš yavaš düzäldılär halh _uže birbirlärıni tanıdi	4.894	doreco_urum1249_UUM-TXT-AN-00000-A16
0011_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A11	A11	cs	dört ziarat var dördunäda gidirıh är bazar günnäri gidirıh _sveča yahirıh	4.961	doreco_urum1249_UUM-TXT-VL-00000-A11
0002_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A09	A09	cs	oni näblem bän eč _razbirat edämäm oni urusčada söilärım bizım dildändä söilärım	4.851	doreco_urum1249_UUM-TXT-LG-00000-A09
0018_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	cs	_da söndür _da	0.797	doreco_urum1249_UUM-TXT-AN-00000-A16
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B07	B07	cs	böyüklär _uže bülerlär sabah meriamanadır	3.408	doreco_urum1249_UUM-TXT-FE-00000-B07
0005_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A07	A07	cs	äp ohunmıš äp bülirlär äp _učeniki tože _padgatovlennıe	4.36	doreco_urum1249_UUM-TXT-VL-00000-A07
0012_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A16	A16	cs	birınji äksia gidirıh sora gidirıh täzäya birınji äksılärınän _prašatsa edirıh sorada gidirıh täzälärä	6.16	doreco_urum1249_UUM-TXT-VL-00000-A16
0005_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A11	A11	cs	_savkhoz varıdi savkhozdada čalıširdıh išlirdıh fs_sva ğıš güni är erä gidirdıh _zapadni gruziaya gidirdıh	8.033	doreco_urum1249_UUM-TXT-VL-00000-A11
0010_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A04	A04	cs	_i sorada fp_ee zemlänkalar torpağın dibındä ävlär _i orda yaširdılär	8.832	doreco_urum1249_UUM-TXT-AN-00000-A04
0005_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-B14	B14	cs	näsıl ki biz bu _turetski dialektır	6.326	doreco_urum1249_UUM-TXT-LG-00000-B14
0008_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A09	A09	cs	ohumai prahtıh knigalari bän _lično doldurdum tandıra tandır vardır yahtım ki häm ağliram hämdä yahirım	8.19	doreco_urum1249_UUM-TXT-LG-00000-A09
0003_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B14	B14	cs	anam babam čoğ _mučetsa ettılär älä bizi ğıčüstünä ğoidular	4.52	doreco_urum1249_UUM-TXT-FM-00000-B14
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A07	A07	cs	bänım _babuškam ävränliidi gäldi jinisä deduškami aldi	5.676	doreco_urum1249_UUM-TXT-FM-00000-A07
0008_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A14	A14	cs	_nesmotrya _na _to _što _ohi _i fahırıdıh fahır yaširdıh _vseravno fs_druzni _družni yaširdıh birbirımızi ğanirdıh bögünä ačen gäldıh belä	9.166	doreco_urum1249_UUM-TXT-FM-00000-A14
0010_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A10	A10	cs	šindi ušahlar uže _savsem _razviti oldular küčük ušahlar üč dört dili birdän bülirlär	5.782	doreco_urum1249_UUM-TXT-LG-00000-A10
0013_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B14	B14	cs	bu kövdä var bir _škola ikitänä ma _magazin _da ziar kövün ičındä var bänä ğalar iki ziarat meriamana	16.836	doreco_urum1249_UUM-TXT-VL-00000-B14
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A08	A08	cs	bizım meriamanada ahšamdan eğılirıh _muzıka iš olir gälir är erdän fs_ha halh gälir	5.56	doreco_urum1249_UUM-TXT-FE-00000-A08
0010_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A11	A11	cs	_očen slabi _žili fs_yaširdıh slabi yaširdıh	5.257	doreco_urum1249_UUM-TXT-AN-00000-A11
0011_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A15	A15	cs	gidäjäm istirım ohumaya neräya istirım bahem _ili nerdä olabülür šäärmäärä	6.55	doreco_urum1249_UUM-TXT-FM-00000-A15
0008_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	cs	_babuškam tandırda äkmäk bišırirdi dädämdä yašamasi čobannığınan gečti kövdä čoban olirdi mala ğoyuna elädä gečti	16.14	doreco_urum1249_UUM-TXT-AN-00000-A06
0009_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B02	B02	cs	sora ištem orda olier oinamah iši praznik olier _nu _karoče	3.98	doreco_urum1249_UUM-TXT-FE-00000-B02
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	cs	orda bizlärä yahši gün vermierdılär dögüš gidierdi bizlärä ui_dedılär _ya dilızi itırirsız yada dinızi itırirsız angısıni istiersıs	7.854	doreco_urum1249_UUM-TXT-AN-00000-A12
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A09	A09	cs	sabahtan ğalhirdıh ğarılarımız _uže gälirdıh _maladyož äp oinamah etmäh ğız ğačırmah dügün etmäh	5.765	doreco_urum1249_UUM-TXT-FE-00000-A09
