utt_id	spkr_id	lang	text	dur
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A01	A01	urum	bänä ğala gäldılär iki yuz el iräli trapezondadan	4.879
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A02	A02	urum	dädäm dierdi ki biz gäldıh gürjistana gürjistandaidıh	8.13
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A03	A03	cs	birınji gäldılär bizım atadädä _tısyaču _vosemsot _dvadsat _devyati goddır _dvadsat _devyatı _tridsat _pervıe	7.415
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A04	A04	cs	_zdravstvuite säläm sizä	1.281
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	urum	gürjistana gäldıh biz turtsia bizä dad vermer	3.655
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	urum	bänım dädämın babasi spiridon gäldi gretsiadan ämıläriinän barabar	6.91
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A07	A07	cs	bizım halh buraya gäldi _general _paskevič _paprasit etti	3.327
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	urum	bänım nahılederdi ki šeidır fs_turtsiada turtsiada dögüš fs_olir turtsiada dögüš olirdi biz ğačtıh gäldıh buraya jinisä	8.53
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A09	A09	cs	torpahlari aldılar bizım šeinika _uže čätın oldi yašamah _abratno _prišli _syuda _da	6.63
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A10	A10	urum	diillär ki halh yaširdi turtsiada	2.565
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A11	A11	cs	gürjistana prieh _na _russkom _yazıke _skazat bizım diljä	3.93
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	urum	bizım babamın dädäsi turtsiadan gäldılär	2.77
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	urum	elä duimıšıh ište bizlär näsıl gäldıh dädämız äbämız turtsiada dögüš oldi	5.79
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A14	A14	cs	bän bu išläri _toest näsıl gälmišlär bän asnovnoi _nu išläri bülirım bänım deduškamdan	7.307
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A15	A15	urum	bän elä duimištim šei fs_dögüštän dädälärım dädäsi ğačmıšti buraya ište bizdä gäldıh ište ište buraya ambelä šei yašamah	10.39
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	urum	kim bizım diljä diem	2.357
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	urum	bizım halh turtsiadan bin gälmıš šeä gürjistana bin dohkuz yuz igirmi elın ičındä näsıl ki biz duimıšıh dädädän atadan	12.585
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	urum	bizım halh gürjistana gäldi kharstan turkiadan	3.872
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B03	B03	urum	fp_aa bizım halh gretsiadan onučun gäldılär ki turklar turklar ğoyurmierdılär onnari orda yašialär	10.893
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B04	B04	cs	bizım halh gäldi gürjistana _devitnatsatom _veke onučun ki čoğ čätınıdi yašamah	7.717
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B06	B06	urum	dögüštän sora čoğ urum halh ğaldi ğapibajasız	4.632
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B07	B07	urum	ui_bizım_halh yašierdi ğarsta	2.02
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B08	B08	urum	bizım halh gäldi turtsiadan onučun ki dad vermerdılar kötiidi orda yašamah	5.283
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B10	B10	urum	bizım halh gäldi gürjistana čohtan	4.505
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B11	B11	urum	nävädä ki bašlandi dögüš turtsiainan gretsiainan bizım halh ui_ğačtılar oyani ui_buyani	7.729
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B12	B12	cs	biz birınji yašierdıh gretsiada _kanstantınopole	4.706
